idx,Category,Word_Gen_1,Description_Gen_1,Word_Gen_2,Description_Gen_2,Word_Gen_3,Description_Gen_3,Word_Gen_4,Description_Gen_4,Word_Gen_5,Description_Gen_5,Word_Gen_6,Description_Gen_6,Word_Gen_7,Description_Gen_7,Word_Gen_8,Description_Gen_8,Word_Gen_9,Description_Gen_9,Word_Gen_10,Description_Gen_10,Word_Gen_11,Description_Gen_11
0,High-Freq-Abstract,Future,"It refers to the period that has not yet occurred, following the present moment. People often talk about it when making predictions, setting goals, or imagining what may happen.",Future,,,This is the opposite of the past. It is something people often look forward to.,Future,,,"A time that has not happened yet. It refers to events, plans, or possibilities that will come later.",Future,,,"Due to uncertainty, unpredictability, and sense of wonder, sometimes it's viewed as hopeful, other times as bleak. Even though no promise of it can be made, it is an anticipated and inevitably forward based occurrence.",Hope,,,It is a feeling that something good can happen. It gives people strength.,Hope,,,The feeling that things will improve. Often felt when the chips are down.
1,Low-Freq-Concrete,Glacier,"A slow‑moving, massive river of compacted ice that forms from layers of snow compressed over centuries, usually found in mountainous or polar regions. It reshapes the terrain by carving valleys and depositing piles of rock and sediment as it advances and retreats.",Glacier,,,This is a huge block of ice. It destroyed the Titanic.,Iceberg,,,"A huge floating piece of ice that has broken off from a glacier or ice shelf. Most of it is hidden underwater, with only a smaller part visible above the surface.",Iceberg,,,"A piece of a larger, cold mass that breaks away and floats, yet only a very small portion can be seen above sea level. Many ships have met disaster when unsuspectingly making contact with this, while some penguins call them a cozy spot to rest.",Iceberg,,,A large chunk of ice floating in the waters. Most hidden under the water.,Glaicer,,,A vast icy mass. Most commonly found at the earth's poles.
2,Low-Freq-Abstract,Animosity,"It is a feeling of intense hostility or hatred toward another person. This emotion often drives people to act against the target, sometimes wishing them harm or misfortune.",Rage,,,"This is what people feel when they are angry. It starts with an ""R"".",Rage,,,"An intense feeling of anger that can be hard to control. It may lead someone to shout, act aggressively, or react more strongly than usual.",Rage,,,"A very exaggerated sense of anger, and can feel extremely overwhelming at times. When experienced, an individual may feel flush, see red, and sometimes can be all consuming leading to a physical outburst .",Fight,,,An altercation between people. Could be physical or not.,Fight,,,A CONFORNTATIONAL ENCOUNTER. CHARACTERISED BY AGRESSIVE AND BRUTAL ACTIONS
3,High-Freq-Abstract,Condition,"It refers to the particular state or circumstances in which something exists or operates, often describing health, weather, or the status of an object. It can also denote a requirement or stipulation that must be satisfied for a certain outcome or agreement to be valid.",Measurement,,,This is the term for using a ruler. You could also describe this as the result you get from using a ruler.,Measuring,,,"Finding the size, amount, length, weight, or distance of something using a tool or standard unit. It helps people compare things accurately and know exact quantities.",Measure,,,"Used to assess information in order to gauge a definitive outcome. Certain tools help aide with these findings, often when purchasing common household items, an individual will use this system to best determine size, fit, and compatibility.",Data base,,,"A collection of information stored on the computer for quick searches. Often used to track names, records or products etc.",Data,,,Information. Often associated with computing.
4,High-Freq-Abstract,Market,"It is a place where buyers and sellers gather to exchange goods and services, often organized in stalls or shops. Prices are usually determined by supply and demand, and the activity can occur in physical locations or online.",Market,,,"This is a place or online platform where items are sold. However, the word is not ""store"" but instead is a synonym that starts with the letter ""M"".",Market,,,"A place or system where people buy, sell, or trade goods and services. It can refer to a physical location with vendors or a broader economic space where businesses and customers interact.",Market,,,"A place to buy and sell goods, with some being a favorited place to visit on weekends. Can be a type of trade, producing fluctuation and monetary power.",Flea market,,,A place where people sell mostly handmade items from stalls. Shoppers often go to find unique finds.,Fleamarket,,,A grouping of merchants stalls. Often perceived as frequented by poorer people.
5,High-Freq-Concrete,Oil,"It is a thick, slippery liquid that can be refined from crude petroleum or pressed from seeds and nuts. It is widely used for cooking, lubricating machinery, and powering engines.",Oil,,,You need this ingredient to fry food. Gasoline is produced from this.,Oil,,,"A thick liquid found underground that can be refined into fuel, such as petrol or diesel. It can also refer to slippery liquids used for cooking, machines, or skin care.",Oil,,,"Painters may use this for rich color and ease of layering, while automobiles may as well. Water is not a fan, and refuses to mix.",Paint,,,Something used to decorate walls and similar surfaces. A liquid.,Paint,,,Decorative viscous liquid. Used to adorn walls or canvasses.
6,Low-Freq-Abstract,Enigma,"It refers to something that is mysterious and difficult to understand, often presenting a puzzling problem or secret. The term is commonly used to describe a person, situation, or object that defies easy explanation.",Complex,,,"This is a term for something that is difficult to understand. It starts with the letter ""C"".",Confusing,,,"Difficult to understand or unclear. It can make someone feel unsure, mixed up, or uncertain about what something means.",Confusing,,,"When something is unclear, and does not aid in determining what is being described. Sometimes, this is also a feeling which can lead to a general sense of distress.",Confusion,,,A state of not understanding something clearly. Feeling mixed up.,Confession,,,The act of admitting a guilt. Often associated with the Catholic church.
7,Low-Freq-Abstract,Gluttony,"An excessive desire to eat far more than one needs, often linked to overindulgence in food. It is regarded as one of the traditional cardinal vices.",Gluttony,,,This is the over-consumption of too much food and drinks. It is mentioned in the bible and associated with greed.,Gluttony,,,Excessive eating or drinking beyond what is needed. It can also describe an overindulgent desire for more of something than is healthy or reasonable.,Greed,,,"Always wanting more and nothing ever being good enough, thus it's spot as a sin. An induvial will often do whatever it takes in attempt to fill the insatiable desire they feel.",Want,,,A feeling of desiring somthing that you don't currently have. Both big and small.,Desire,,,A feeling of wanting something. A very human inclination
8,High-Freq-Concrete,Horse,"It is a large, four‑legged mammal commonly used for riding, pulling carriages, and farm work. It has a mane of hair along its neck, hooves instead of feet, and is known for its speed and strength.",Horse,,,This is an animal that cowboys frequently ride. They were often used as transportation before cars were invented.,Horse,,,"A large four-legged animal often used for riding, racing, or pulling carts. It has a mane, tail, hooves, and is known for its strength and speed.",Horse,,,"Has four legs and lives on a farm, loving to roam and graze as it pleases. Can be ridden, and are often seen as majestic and spiritual.",Horse,,,A four legged animal found in a farm. Humans can ride them.,Horse,,,A four legged mammal ridden by humans. Often used in races for the purposes of gambling
9,Low-Freq-Concrete,Beaker,"It is a cylindrical glass vessel with a flat base and a small lip for easy pouring. Scientists and students use it to hold, mix, and heat liquids during experiments.",Vial,,,This is a small container often used to store liquids. It can be used in science and is made out of glass.,Beaker,,,"A wide-mouthed glass container used in laboratories to hold, mix, or heat liquids. It usually has straight sides, measurement markings, and a small spout for pouring.",Beaker,,,"A source to hold and measure liquid, often found sitting on a laboratory desk. A glass object, that if not handled properly, can shatter quite easily.",Flask,,,A container to carry liquids. Both hot and cold.,Mug,,,An everyday drinking vessel used in mundane situations. Mostly associated with hot beverages
10,High-Freq-Abstract,Information,"It is data or knowledge that is communicated or received about a particular subject, often used to make decisions. It can be stored, transmitted, or processed in various forms such as text, numbers, images, or signals.",Evidence,,,"This is something that is required to prove a point. The word is not ""fact"" or ""proof"" but is a synonym of these words.",Evidence,,,"Information, facts, or objects that help show whether something is true or false. It is often used to support a claim, argument, or investigation.",Evidence,,,"Can be collected for data and review, and usually has a positive or negative outcome. Laboratories often analyze and document such findings, and is used as a fact based source towards an assertion.",Data bank,,,A collection of information stored so people or computers can easily find. Digital.,File,,,A tool used to refine surfaces. The tool makes surfaces smoother.
11,High-Freq-Concrete,Child,"A young human being who has not yet reached puberty, typically dependent on adults for care and education. They often attend school, play games, and are legally considered a minor.",Adolescent,,,"This is another word for ""kid"". It starts with the letter ""A"".",Adolescent,,,"A young person who is developing from childhood into adulthood. This stage usually includes the teenage years and many physical, emotional, and social changes.",Adolescent,,,A transition individuals meet than can offer new found independence and change. An in between when one can make decisions but is not yet fully capable of understanding all consequences.,Adulthood,,,A time period. After teen years.,Twenty,,,A two digit number. It is exactly twice the number ten
12,Low-Freq-Abstract,Deference,It is a respectful attitude shown toward someone of higher authority or seniority. It involves yielding to that person’s wishes or opinions out of admiration and politeness.,Honor,,,"Kings often have this. In common phrasing, you could say someone is the guest of this or that you would defend this for them.",Throne,,,"A special chair used by a king, queen, or other ruler during formal occasions. It often symbolizes royal power, authority, and leadership.",Throne,,,"Sat upon by an individual of high regard and is the epitome of the highest seat. Symbolizes power, but can also be used in humorous, bathroom style context.",Crown,,,A headpiece. Worn by rulers.,Crown,,,A head adornment. Mostly associated with monarchs.
13,Low-Freq-Concrete,Cymbal,"It is a thin, round metal disc, usually made of brass or bronze, with a raised central hub. When struck with a drumstick or by hand it produces a bright, crashing sound that is a staple in orchestras, marching bands, and modern drum kits.",Cymbal,,,"This is a thin, round metal plate included with a drum set. It starts with a ""C"".",Cymbal,,,"A round, flat metal percussion instrument that makes a loud ringing or crashing sound when struck. It is often used in drum kits, orchestras, and marching bands.",Cymbal,,,"An instrument used to produce sound, often part of an assemble. Produces a crash and has rhythmic patterns.",Drum,,,A musical instrument. Makes sound when hit with sticks or hands.,Drum,,,A percussion instrument. Bash it with sticks to make a sound.
14,Low-Freq-Concrete,Buckle,"It is a metal clasp that fastens a strap or belt, commonly seen on shoes, belts, or saddles. As a verb, it also means to bend or give way under pressure, causing a structure to collapse.",Buckle,,,This is something that is often put in the center of a belt. Knees often do this when they are weak.,Buckle,,,"A fastener used to secure two loose ends, often on a belt, shoe, bag, or seat strap. It usually works by passing one part through a frame or clasp so it stays tight.",Buckle,,,"Can be used to fasten material tighter, and to a more appropriate or desired fit. What can happen to an object or individual when too much pressure is applied.",Torque,,,A force that can make something that can twist. Can be used to describe how strongly a tool can turn something.,Pliers,,,A tool used by workmen to grab an object and extract it from something. For example to pull a nail from wood.
15,High-Freq-Concrete,Rain,"It is water that falls from clouds to the ground in droplets, usually accompanied by a gray or overcast sky. This natural phenomenon often makes surfaces wet and can be measured in millimeters per hour.",Rain,,,This often falls from the sky. You could refer to it as melted snow.,Rain,,,"Water that falls from clouds in drops. It helps plants grow, fills rivers and lakes, and can make the ground wet.",Rain,,,"Often times is cool and refreshing, and can be light or heavy. Plants need it, rainbows wouldn't be able to form without its ability to disperse sunlight, and children love jumping it's creation.",Rain,,,Weather. Famous for the UK.,Rain,,,liquid that falls from the sky. used by animals to drink
16,High-Freq-Abstract,Hate,"It is a powerful feeling of aversion or hostility toward a person, group, or thing. This emotion frequently drives a desire to avoid, oppose, or see the object of the feeling harmed.",,Something the world needs less of. What we are supposed to use love to drive away.,Hate,,,This word describes a very strong feeling. It's how you would describe your feelings towards something or someone who you had a strong dislike for.,Hate,,,An intense feeling of dislike for something or someone. It is usually considered a negative feeling or emotion.,Hatred,,,when you despise some one as much as you can when you do not like some one intensely,Hatred,,,"Severe dislike for someone or something,",Hatred,
17,High-Freq-Concrete,Bird,"It is a warm‑blooded vertebrate covered in feathers, equipped with wings and a beak, and most species can fly. These creatures lay hard‑shelled eggs and are often heard singing while perched in trees.",,They fly around in the sky. They often chirp their little songs to each other.,Bird,,,"A feathered animal with wings. Many species exist, from incredibly colourful and large versions, to smaller versions you'd see in your garden.",Bird,,,"They are animals that usually have feathers, they lay eggs and commonly have the ability to fly. They often make nests and communicate by singing.",Birds,,,these are winged creatures they fly and migrate,Birds,,,"They fly in the air, eat worms and sometimes fruit. They have feathers and legs with 3 claws",Birds,
18,Low-Freq-Concrete,Ermine,It is a small carnivorous mammal of the weasel family that changes from a brown summer coat to a pure white fur in winter. Its pelts have long been used for luxurious royal garments and as a heraldic symbol of purity.,,A white coat weasel. Has a black tipped tail.,Skunk,,,A cat-sized black and white furry animal in North America. Commonly known for producing a vile odour if surprised.,Skunk,,,"A mammal that has a tail and is commonly associated with black and white fur. It produces a strong, unpleasant smell as a defence.",Skunk,,,this is a black and white animal has a stripe down its back and lets of a smell when scared,Skunk,,,"Four legged smelly cat, some have stripes. Use tomato juice to help get rid of smell.",Skunk,
19,Low-Freq-Abstract,Avarice,"A strong, selfish desire to acquire and keep money or possessions, often at the expense of others. It is characterized by an insatiable craving for wealth and a willingness to hoard or exploit resources.",,Miserable desire to gain wealth. Not being able to ever get enough money.,Greed,,,The word describes the want for more. It can be used to describe a person with an insatiable appetite.,Greed,,,"A desire to constantly want more of something, such as more money, food or power. It is considered a negative trait.",Greed,,,some one who takes every thing and gives nothing someone who takes too much all the time,Cheap,,,Does not cost much as regular priced things. Sometimes made poorly.,Cheap,
20,Low-Freq-Abstract,Depravity,It denotes a condition of extreme moral corruption and wickedness. The term is used to describe actions or behavior that are profoundly immoral or sinful.,,Not having something you have once had. Or not having something that you need.,Lack,,,This word describes the state of not having enough of something in particular. It can also be used to describe what something is missing.,Lack,,,"A feeling when something you need is missing or you don't have enough of that particular thing. It can be food, money or sleep for example.",Desire,,,when you feel a great need for some one you want them so bad when you love some one intensely you need them so much,Desire,,,Wanting something or something wan badly,Desperate,
21,Low-Freq-Concrete,Cactus,"It is a plant that stores water in thick, fleshy stems and is commonly covered in sharp spines. It typically thrives in arid desert environments and often produces large, colorful flowers.",,"Something, sometimes green, and prickly. Grows in deserts.",Cactus,,,A plant of the succulent variety. They're often green and spiky.,Cactus,,,"A prickly plant that has large, thick stems and stores water. It is usually associated with the desert and dry places.",Cactus,,,this is a prickly plant this is normally found in the desert,Cactus,,,"Tall prickly plant, some found in deserts. Can grow flowers and sone provide liquid.",Cactus,
